# Simulation 12 (Up to date),,,
# 692 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Thick fins may not be modeled accurately.,,,
#   Recovery device deployment at high speed (22.1 m/s),,,
#,,,
# Time (s),Altitude (m),Drag force (N),Drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,0,0.6913
0.01,0.015239,0.017739,0.63657
# Event LIFTOFF occurred at t=0.02 seconds,,,
0.02,0.068317,0.097733,0.57551
0.03,0.162,0.1833,0.55023
0.038954,0.27525,0.26825,0.53606
0.046032,0.38355,0.34632,0.52728
0.052102,0.48967,0.42127,0.52093
0.05751,0.59453,0.49439,0.51598
0.062438,0.69858,0.56626,0.51194
0.066998,0.80205,0.63724,0.50855
0.071261,0.90509,0.70753,0.50562
# Event LAUNCHROD occurred at t=0.07528 seconds,,,
0.07528,1.0078,0.77728,0.50307
0.081309,1.172,0.88767,0.49955
0.090352,1.4412,1.0674,0.49487
0.10392,1.8966,1.3692,0.48894
0.12426,2.6962,1.922,0.48884
0.15478,4.1595,2.9459,0.49041
0.18876,6.1631,4.364,0.49258
0.2233,8.6077,6.1243,0.49525
0.2733,12.878,9.2827,0.49999
0.3233,18.018,13.202,0.50577
0.34343,20.333,14.998,0.50841
0.35965,22.302,16.534,0.51066
0.37472,24.213,18.03,0.51285
0.38993,26.221,19.603,0.51516
0.40694,28.562,21.441,0.51784
0.4311,32.058,24.205,0.52185
0.46735,37.674,28.684,0.52829
0.48606,40.744,31.14,0.53181
0.50129,43.33,33.21,0.53477
0.51699,46.074,35.41,0.53791
0.53544,49.403,38.083,0.54173
0.56313,54.602,42.274,0.54769
0.60466,62.853,48.941,0.55714
0.62179,66.409,51.811,0.56122
0.64175,70.667,55.249,0.56611
0.6717,77.275,60.591,0.57373
0.69516,82.635,64.918,0.57992
0.71288,86.784,68.261,0.58474
0.73689,92.547,72.875,0.59144
0.77291,101.48,79.922,0.60179
0.79173,106.28,83.644,0.60735
0.81658,112.75,88.599,0.61485
0.85385,122.72,96.088,0.62645
0.88181,130.4,101.75,0.63549
0.92376,142.24,110.41,0.64988
0.97376,156.79,121.01,0.66862
1.0238,171.79,131.93,0.68963
1.0738,187.2,139.42,0.69401
1.1238,202.98,145.89,0.69481
1.1738,219.08,150.99,0.69555
1.1951,226.04,152.94,0.69586
1.2272,236.57,155.75,0.69633
1.2752,252.52,159.12,0.69693
1.3171,266.51,159.73,0.69708
1.3671,283.2,157.93,0.69683
1.417,299.72,154.67,0.69634
1.4228,301.65,154.16,0.69627
1.4316,304.53,153.36,0.69615
1.4447,308.84,152.03,0.69595
1.4511,310.92,151.32,0.69585
1.4569,312.82,150.64,0.69575
1.4632,314.88,149.88,0.69564
1.4716,317.6,148.81,0.69549
1.4842,321.66,147.11,0.69526
1.4983,326.18,145.08,0.69499
1.5066,328.85,143.86,0.69483
1.5168,332.08,142.36,0.69465
1.532,336.9,140.1,0.69438
1.5523,343.24,137.06,0.69404
1.5656,347.38,135.03,0.69383
1.5856,353.53,131.97,0.69353
1.6101,360.97,126.68,0.68506
1.6378,369.29,120.41,0.67318
1.678,381.07,111.96,0.65804
1.728,395.32,102.2,0.64153
1.778,409.14,93.916,0.62818
1.828,422.54,86.796,0.61709
1.878,435.54,80.231,0.60709
# Event BURNOUT occurred at t=1.928 seconds,,,
1.928,448.15,74.227,0.59809
1.978,460.39,68.956,0.59028
