# Simulation 8 (Up to date),,,
# 580 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Thick fins may not be modeled accurately.,,,
#   Recovery device deployment at high speed (20.1 m/s),,,
#,,,
# Time (s),Altitude (m),Drag force (N),Drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,0,1.0036
0.01,0.015239,0.026549,0.94402
# Event LIFTOFF occurred at t=0.02 seconds,,,
0.02,0.068315,0.14776,0.88045
0.03,0.16199,0.27994,0.85453
0.038955,0.27523,0.41415,0.84034
0.046034,0.38353,0.53874,0.8316
0.052106,0.48965,0.65917,0.8253
0.057515,0.59451,0.77729,0.82041
0.062445,0.69856,0.8938,0.81643
0.067006,0.80202,1.0092,0.81309
0.071271,0.90506,1.1237,0.81023
# Event LAUNCHROD occurred at t=0.075292 seconds,,,
0.075292,1.0078,1.2375,0.80773
0.081324,1.172,1.4181,0.80431
0.090371,1.4411,1.713,0.7998
0.10394,1.8963,2.2091,0.79415
0.1243,2.6954,3.1012,0.79447
0.15483,4.1566,4.751,0.79692
0.19706,6.6987,7.6623,0.80121
0.237,9.6622,11.098,0.80625
0.287,14.138,16.389,0.81389
0.337,19.461,22.797,0.823
0.35846,22.003,25.877,0.82736
0.37705,24.331,28.696,0.83133
0.39568,26.777,31.645,0.83548
0.4172,29.745,35.211,0.84048
0.44949,34.478,40.884,0.84835
0.49792,42.189,50.035,0.86091
0.51899,45.766,54.22,0.86661
0.54213,49.848,58.952,0.87304
0.57685,56.259,66.295,0.88296
0.62685,66.078,77.271,0.89767
0.65466,71.825,83.519,0.90602
0.69637,80.808,93.038,0.9187
0.72932,88.196,100.58,0.92874
0.77837,99.64,111.6,0.94345
0.825,110.97,121.64,0.95694
0.875,123.55,131.81,0.97073
0.925,136.53,141.48,0.98402
0.975,149.87,150.66,0.99686
1.025,163.53,159.26,1.0092
1.075,177.48,167.23,1.0208
1.125,191.68,174.52,1.0318
1.175,206.08,179.33,1.0394
1.225,220.61,183.07,1.0455
1.275,235.23,185.17,1.0492
1.325,249.85,182.47,1.0456
1.375,264.34,175.88,1.0361
1.425,278.61,167.95,1.0248
1.475,292.59,157.67,1.0104
1.525,306.2,145.94,0.99416
1.575,319.4,134.64,0.97879
1.625,332.17,123.78,0.96417
1.675,344.51,113.29,0.95012
1.725,356.38,103.2,0.93661
1.775,367.81,94.355,0.92476
1.825,378.82,86.685,0.91447
1.875,389.44,79.575,0.90487
# Event BURNOUT occurred at t=1.925 seconds,,,
1.925,399.67,73.029,0.89599
1.975,409.53,67.28,0.88814
2.025,419.04,62.213,0.88119
2.075,428.24,57.719,0.87498
2.125,437.14,53.709,0.86941
2.175,445.76,50.113,0.86439
2.225,454.12,46.872,0.85984
2.275,462.23,43.938,0.8557
2.325,470.11,41.272,0.85192
2.375,477.77,38.842,0.84846
2.425,485.22,36.62,0.84528
2.475,492.47,34.579,0.84235
2.525,499.54,32.699,0.83963
2.575,506.42,30.965,0.83712
2.625,513.14,29.359,0.83478
2.675,519.69,27.872,0.83261
2.725,526.08,26.49,0.83058
2.775,532.33,25.201,0.82869
2.825,538.43,23.998,0.82691
2.875,544.39,22.875,0.82525
2.925,550.22,21.821,0.82369
2.975,555.93,20.834,0.82222
3.025,561.51,19.906,0.82083
3.075,566.97,19.033,0.81953
3.125,572.31,18.213,0.8183
3.175,577.55,17.439,0.81714
3.225,582.68,16.706,0.81603
3.275,587.7,16.014,0.81499
3.325,592.63,15.358,0.81399
3.375,597.45,14.737,0.81305
3.425,602.19,14.149,0.81216
3.475,606.83,13.59,0.81131
3.525,611.38,13.058,0.8105
3.575,615.85,12.553,0.80973
3.625,620.23,12.073,0.80899
3.675,624.53,11.616,0.80829
3.725,628.75,11.179,0.80762
3.775,632.9,10.762,0.80698
3.825,636.97,10.364,0.80636
3.875,640.96,9.9825,0.80578
3.925,644.88,9.6177,0.80521
3.975,648.74,9.269,0.80467
4.025,652.52,8.9347,0.80415
4.075,656.24,8.6143,0.80366
4.125,659.89,8.3071,0.80318
4.175,663.48,8.0121,0.80272
4.225,667.01,7.7292,0.80228
4.275,670.48,7.459,0.80186
4.325,673.88,7.1995,0.80145
4.375,677.23,6.9483,0.80106
4.425,680.52,6.7069,0.80068
4.475,683.76,6.4751,0.80032
4.525,686.93,6.2518,0.79997
4.575,690.06,6.0368,0.79963
4.625,693.13,5.8301,0.79931
4.675,696.15,5.6314,0.79899
4.725,699.12,5.4404,0.79869
4.775,702.04,5.2545,0.7984
4.825,704.91,5.0752,0.79812
4.875,707.73,4.9029,0.79784
4.925,710.5,4.7361,0.79758
4.975,713.23,4.5752,0.79733
5.025,715.91,4.4195,0.79708
5.075,718.54,4.2691,0.79684
5.125,721.13,4.1219,0.79661
5.175,723.68,3.98,0.79638
5.225,726.18,3.8429,0.79616
5.275,728.64,3.7105,0.79595
5.325,731.06,3.5823,0.79575
5.375,733.43,3.4588,0.79555
5.425,735.77,3.3399,0.79536
5.475,738.06,3.2238,0.79518
5.525,740.32,3.1115,0.795
5.575,742.54,3.0036,0.79482
5.625,744.71,2.8993,0.79466
5.675,746.85,2.7965,0.79449
5.725,748.95,2.6966,0.79434
5.775,751.02,2.6012,0.79418
5.825,753.05,2.5089,0.79403
5.875,755.04,2.4189,0.79389
5.925,756.99,2.3322,0.79387
5.975,758.91,2.2502,0.79459
6.025,760.8,2.1706,0.79534
6.075,762.65,2.0921,0.79609
6.125,764.46,2.0154,0.79685
6.175,766.25,1.9415,0.79763
6.225,767.99,1.8701,0.79843
6.275,769.71,1.8014,0.79924
6.325,771.39,1.7361,0.80006
6.375,773.04,1.6726,0.8009
6.425,774.66,1.608,0.80177
6.475,776.24,1.5439,0.80267
6.525,777.79,1.4839,0.80357
6.575,779.31,1.4268,0.80449
6.625,780.8,1.3699,0.80543
6.675,782.26,1.3138,0.8064
6.725,783.69,1.2601,0.8074
6.775,785.09,1.2083,0.80841
6.825,786.46,1.1581,0.80946
6.875,787.8,1.1094,0.81053
6.925,789.1,1.0617,0.81161
6.975,790.38,1.0154,0.81273
7.025,791.63,0.97046,0.81388
7.075,792.85,0.92664,0.81506
7.125,794.04,0.88426,0.81626
7.175,795.21,0.84421,0.81747
7.225,796.34,0.80501,0.81874
7.275,797.45,0.76577,0.82006
7.325,798.52,0.72889,0.82141
7.375,799.58,0.69423,0.82277
7.425,800.6,0.66142,0.82417
7.475,801.59,0.62925,0.82561
7.525,802.56,0.59623,0.82713
7.575,803.5,0.56298,0.82872
7.625,804.41,0.53121,0.83035
7.675,805.3,0.50091,0.83204
7.725,806.16,0.47134,0.83379
7.775,806.99,0.4434,0.8356
7.825,807.8,0.41593,0.8375
7.875,808.58,0.38937,0.83949
7.925,809.33,0.36406,0.84157
7.975,810.06,0.34002,0.84374
8.025,810.76,0.31699,0.846
8.075,811.44,0.29483,0.84835
8.125,812.09,0.27329,0.85077
8.175,812.71,0.2528,0.85341
8.225,813.31,0.23312,0.85623
8.275,813.88,0.21417,0.85918
8.325,814.43,0.19628,0.86238
8.375,814.95,0.17868,0.86563
8.425,815.44,0.16314,0.86882
8.475,815.91,0.14937,0.87232
8.525,816.36,0.13492,0.87627
8.575,816.78,0.12238,0.88037
8.625,817.18,0.10968,0.88491
8.675,817.55,0.097262,0.88989
8.725,817.89,0.08559,0.89534
8.775,818.21,0.074871,0.90128
8.825,818.51,0.065583,0.90769
8.875,818.78,0.056259,0.91502
8.925,819.03,0.048652,0.92295
8.975,819.25,0.041896,0.93182
9.025,819.45,0.03559,0.94195
9.075,819.62,0.030162,0.9532
9.125,819.77,0.024131,0.96684
9.175,819.89,0.018515,0.98086
9.225,819.99,0.012798,0.99686
9.275,820.07,0.0074784,1.0195
9.325,820.12,0.0034328,1.0366
9.375,820.15,9.15E-04,1.0483
9.425,820.15,4.21E-05,1.0506
# Event APOGEE occurred at t=9.475 seconds,,,
9.475,820.13,-2.28E-05,1.036
9.525,820.08,-6.21E-04,1.0199
9.575,820.01,-0.0025404,1.0041
9.625,819.91,-0.005934,0.98798
9.675,819.79,-0.010514,0.97246
9.725,819.65,-0.015678,0.95784
9.775,819.48,-0.021616,0.94534
9.825,819.29,-0.02907,0.93522
9.875,819.07,-0.037336,0.92623
9.925,818.83,-0.045647,0.91794
9.975,818.56,-0.055526,0.9109
10.025,818.28,-0.067155,0.9048
10.075,817.96,-0.07797,0.89891
10.125,817.63,-0.090201,0.89371
10.175,817.27,-0.10338,0.88898
10.225,816.89,-0.11659,0.88458
10.275,816.48,-0.13117,0.88058
10.325,816.06,-0.14661,0.87688
10.375,815.61,-0.16095,0.87338
10.425,815.14,-0.17403,0.8701
10.475,814.65,-0.18845,0.86709
10.525,814.13,-0.20392,0.8643
10.575,813.6,-0.21779,0.86168
10.625,813.04,-0.22934,0.85923
10.675,812.47,-0.24026,0.85695
10.725,811.87,-0.24852,0.85484
10.775,811.26,-0.25947,0.8529
10.825,810.63,-0.27236,0.85112
10.875,809.98,-0.28488,0.84947
10.925,809.32,-0.29624,0.84794
10.975,808.64,-0.30469,0.84653
11.025,807.95,-0.31395,0.84523
11.075,807.24,-0.32283,0.84403
11.125,806.52,-0.33147,0.84292
11.175,805.79,-0.34284,0.84188
11.225,805.04,-0.35397,0.84092
11.275,804.29,-0.36884,0.84
11.325,803.53,-0.38569,0.83911
11.375,802.75,-0.39866,0.83833
11.425,801.97,-0.41549,0.83756
11.475,801.18,-0.43431,0.83682
11.525,800.39,-0.45028,0.83615
11.575,799.58,-0.46808,0.8355
11.625,798.77,-0.49162,0.8348
11.675,797.96,-0.51415,0.83413
11.725,797.13,-0.53842,0.83344
11.775,796.3,-0.56237,0.83274
11.825,795.47,-0.58217,0.83211
11.875,794.62,-0.60584,0.83141
11.925,793.77,-0.62997,0.83068
11.975,792.91,-0.64682,0.83008
12.025,792.05,-0.65924,0.82954
12.075,791.18,-0.68054,0.82884
12.125,790.3,-0.69944,0.82816
12.175,789.42,-0.71297,0.82757
12.225,788.54,-0.7238,0.82702
12.275,787.65,-0.73135,0.82652
12.325,786.75,-0.73851,0.82603
12.375,785.86,-0.73078,0.82579
12.425,784.96,-0.72179,0.82558
12.475,784.07,-0.72392,0.8252
12.525,783.17,-0.72121,0.82493
12.575,782.28,-0.71464,0.82475
12.625,781.4,-0.70844,0.8246
12.675,780.52,-0.70152,0.82452
12.725,779.65,-0.69865,0.82442
12.775,778.78,-0.69291,0.82442
