# Simulation 10 (Up to date),,,
# 609 data points written for 4 variables.,,,
# Simulation warnings:,,,
#   Thick fins may not be modeled accurately.,,,
#   Recovery device deployment at high speed (20.9 m/s),,,
#,,,
# Time (s),Altitude (m),Drag force (N),Drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds,,,
# Event IGNITION occurred at t=0 seconds,,,
0,0,0,0.89141
0.01,0.015239,0.02344,0.82863
# Event LIFTOFF occurred at t=0.02 seconds,,,
0.02,0.068316,0.12735,0.76461
0.03,0.16199,0.24018,0.73876
0.038954,0.27524,0.35515,0.72453
0.046033,0.38354,0.46188,0.71576
0.052104,0.48965,0.56422,0.70943
0.057513,0.59452,0.66324,0.70452
0.062442,0.69857,0.76092,0.70052
0.067003,0.80203,0.85765,0.69716
0.071267,0.90507,0.95368,0.69427
# Event LAUNCHROD occurred at t=0.075287 seconds,,,
0.075287,1.0078,1.0492,0.69175
0.081318,1.172,1.2009,0.68829
0.090363,1.4411,1.449,0.68371
0.10393,1.8964,1.8692,0.67795
0.12428,2.6957,2.6381,0.67809
0.15481,4.1577,4.0575,0.6802
0.19755,6.7376,6.5826,0.68396
0.24668,10.475,10.322,0.68947
0.29668,15.129,15.084,0.69639
0.34668,20.639,20.831,0.70463
0.36828,23.282,23.612,0.7086
0.38832,25.876,26.341,0.71249
0.4106,28.918,29.538,0.71702
0.44191,33.47,34.318,0.72374
0.48887,40.891,42.104,0.73456
0.5082,44.149,45.499,0.73925
0.52583,47.22,48.682,0.74364
0.5481,51.235,52.825,0.74934
0.5815,57.536,59.286,0.75817
0.61541,64.26,66.099,0.76744
0.63669,68.646,70.484,0.7734
0.66505,74.681,76.452,0.7815
0.70759,84.129,85.616,0.79394
0.73216,89.793,90.964,0.80122
0.76901,98.556,98.967,0.81216
0.8114,109.01,108.03,0.82466
0.8614,121.8,118.38,0.83915
0.9114,135.06,128.39,0.85347
0.9614,148.73,138.13,0.86779
1.0114,162.77,147.51,0.88204
1.0614,177.15,156.44,0.89616
1.1114,191.83,164.85,0.9101
1.1614,206.76,171.5,0.9217
1.2114,221.87,176.44,0.93083
1.2614,237.11,180.05,0.93692
1.3114,252.4,179.48,0.93683
1.3614,267.6,174.24,0.92863
1.4114,282.63,166.98,0.91664
1.4614,297.41,157.72,0.9018
1.4901,305.76,151.3,0.89181
1.5332,318.03,141.63,0.8772
1.5832,331.9,130.9,0.8615
1.6332,345.35,120.58,0.84678
1.6832,358.36,110.6,0.83278
1.7332,370.91,101.06,0.81955
1.7832,383.03,92.825,0.8082
1.8332,394.74,85.568,0.79824
1.8832,406.05,78.805,0.78895
# Event BURNOUT occurred at t=1.9332 seconds,,,
1.9332,416.98,72.611,0.78042
1.9832,427.54,67.163,0.7729
2.0332,437.75,62.343,0.76623
2.0832,447.65,58.052,0.76026
2.1332,457.24,54.211,0.7549
2.1832,466.56,50.752,0.75005
2.2332,475.61,47.623,0.74564
2.2832,484.4,44.783,0.74162
2.3332,492.97,42.191,0.73793
2.3832,501.31,39.821,0.73455
2.4332,509.43,37.648,0.73143
2.4832,517.35,35.646,0.72854
2.5332,525.08,33.796,0.72587
2.5832,532.63,32.086,0.72338
2.6332,540,30.499,0.72107
2.6832,547.2,29.022,0.71891
2.7332,554.23,27.649,0.71689
2.7832,561.12,26.366,0.715
2.8332,567.85,25.165,0.71323
2.8832,574.44,24.041,0.71156
2.9332,580.89,22.987,0.71
2.9832,587.21,21.996,0.70852
3.0332,593.4,21.062,0.70712
3.0832,599.46,20.181,0.7058
3.1332,605.41,19.351,0.70455
3.1832,611.24,18.564,0.70337
3.2332,616.95,17.82,0.70224
3.2832,622.56,17.116,0.70118
3.3332,628.06,16.45,0.70017
3.3832,633.46,15.817,0.6992
3.4332,638.76,15.215,0.69829
3.4832,643.97,14.643,0.69741
3.5332,649.08,14.099,0.69658
3.5832,654.1,13.581,0.69578
3.6332,659.03,13.086,0.69502
3.6832,663.87,12.615,0.6943
3.7332,668.63,12.165,0.6936
3.7832,673.31,11.735,0.69294
3.8332,677.9,11.324,0.6923
3.8832,682.42,10.93,0.69169
3.9332,686.87,10.553,0.69111
3.9832,691.24,10.192,0.69054
4.0332,695.53,9.845,0.69
4.0832,699.76,9.5118,0.68948
4.1332,703.91,9.1927,0.68899
4.1832,708,8.8864,0.68851
4.2332,712.02,8.5912,0.68804
4.2832,715.98,8.3069,0.6876
4.3332,719.87,8.0339,0.68717
4.3832,723.7,7.7709,0.68675
4.4332,727.47,7.518,0.68636
4.4832,731.18,7.2744,0.68597
4.5332,734.83,7.0389,0.6856
4.5832,738.42,6.8121,0.68524
4.6332,741.95,6.5931,0.68489
4.6832,745.43,6.3824,0.68456
4.7332,748.86,6.178,0.68423
4.7832,752.23,5.9811,0.68392
4.8332,755.54,5.792,0.68362
4.8832,758.81,5.6085,0.68333
4.9332,762.03,5.4311,0.68305
4.9832,765.19,5.2593,0.68277
5.0332,768.31,5.0931,0.68251
5.0832,771.37,4.9326,0.68225
5.1332,774.39,4.7768,0.682
5.1832,777.37,4.6261,0.68176
5.2332,780.29,4.4801,0.68152
5.2832,783.17,4.3388,0.6813
5.3332,786.01,4.2024,0.68108
5.3832,788.8,4.0687,0.68086
5.4332,791.54,3.9393,0.68065
5.4832,794.25,3.8141,0.68045
5.5332,796.91,3.6926,0.68026
5.5832,799.53,3.575,0.68007
5.6332,802.11,3.4613,0.67988
5.6832,804.64,3.3504,0.6797
5.7332,807.14,3.2433,0.67953
5.7832,809.6,3.139,0.67936
5.8332,812.02,3.0375,0.6792
5.8832,814.39,2.9389,0.67904
5.9332,816.74,2.843,0.67888
5.9832,819.04,2.7503,0.67873
6.0332,821.3,2.6605,0.67859
6.0832,823.53,2.5725,0.67844
6.1332,825.72,2.4871,0.6783
6.1832,827.88,2.4041,0.67817
6.2332,830,2.3237,0.67804
6.2832,832.08,2.2456,0.67791
6.3332,834.13,2.1695,0.67779
6.3832,836.14,2.0957,0.67766
6.4332,838.12,2.0236,0.67755
6.4832,840.07,1.9558,0.67809
6.5332,841.98,1.8905,0.6788
6.5832,843.86,1.8263,0.67952
6.6332,845.7,1.7636,0.68026
6.6832,847.52,1.7027,0.68101
6.7332,849.3,1.6436,0.68178
6.7832,851.04,1.5858,0.68256
6.8332,852.76,1.5297,0.68336
6.8832,854.44,1.4751,0.68418
6.9332,856.1,1.4219,0.68501
6.9832,857.72,1.37,0.68585
7.0332,859.31,1.3196,0.68672
7.0832,860.87,1.2706,0.6876
7.1332,862.4,1.2224,0.68851
7.1832,863.9,1.1759,0.68943
7.2332,865.37,1.1308,0.69037
7.2832,866.8,1.0869,0.69133
7.3332,868.21,1.0439,0.69232
7.3832,869.59,1.002,0.69333
7.4332,870.95,0.96069,0.69438
7.4832,872.27,0.92083,0.69544
7.5332,873.56,0.88229,0.69653
7.5832,874.83,0.84456,0.69766
7.6332,876.06,0.80803,0.6988
7.6832,877.27,0.77246,0.69998
7.7332,878.45,0.73811,0.70118
7.7832,879.6,0.70472,0.70241
7.8332,880.72,0.6724,0.70368
7.8832,881.82,0.64112,0.70498
7.9332,882.89,0.61029,0.70633
7.9832,883.93,0.58064,0.70772
8.0332,884.94,0.55183,0.70915
8.0832,885.93,0.52376,0.71063
8.1332,886.89,0.49732,0.71213
8.1832,887.82,0.47199,0.71368
8.2332,888.73,0.44605,0.71532
8.2832,889.61,0.42055,0.71702
8.3332,890.47,0.39643,0.71878
8.3832,891.29,0.37332,0.72059
8.4332,892.09,0.35013,0.72251
8.4832,892.87,0.3284,0.72449
8.5332,893.62,0.30802,0.7265
8.5832,894.34,0.28793,0.72863
8.6332,895.04,0.26806,0.7309
8.6832,895.71,0.24915,0.73328
8.7332,896.36,0.23117,0.73574
8.7832,896.98,0.21386,0.73838
8.8332,897.57,0.19725,0.74119
8.8832,898.14,0.18145,0.74409
8.9332,898.69,0.16635,0.74717
8.9832,899.21,0.15219,0.75038
9.0332,899.7,0.13853,0.75385
9.0832,900.17,0.12561,0.75754
9.1332,900.61,0.11379,0.76143
9.1832,901.03,0.10111,0.76588
9.2332,901.42,0.089915,0.77055
9.2832,901.79,0.079265,0.77565
9.3332,902.14,0.069369,0.78121
9.3832,902.46,0.061099,0.78701
9.4332,902.75,0.053599,0.79342
9.4832,903.02,0.045356,0.80101
9.5332,903.27,0.038304,0.80939
9.5832,903.49,0.032192,0.81881
9.6332,903.68,0.027495,0.82918
9.6832,903.85,0.023069,0.84129
9.7332,904,0.0189,0.85546
9.7832,904.12,0.014259,0.87343
9.8332,904.22,0.0097452,0.89584
9.8832,904.3,0.0059287,0.91511
9.9332,904.34,0.0025958,0.93585
9.9832,904.37,5.78E-04,0.95015
10.033,904.37,7.58E-06,0.95045
# Event APOGEE occurred at t=10.083 seconds,,,
10.083,904.35,-9.76E-05,0.93666
10.133,904.3,-9.49E-04,0.9127
10.183,904.22,-0.0028727,0.8904
10.233,904.13,-0.0057211,0.87034
10.283,904,-0.0095965,0.85409
